Review #,Property Name,Star Rating,Comment
201,HILLTOP GETAWAY,3,Met basic expectations.
202,TREETOP CABIN,3,Met basic expectations.
203,CHALET SOLEIL,4,Quiet and peaceful retreat.
204,LAKESIDE COTTAGE,2,Disappointed with the experience.
205,SERENITY SUITE,5,"Truly a hidden gem, loved it."
206,LAKEVIEW 1,5,Host was incredibly welcoming.
207,LAKEVIEW 2,5,"Magical place, great memories."
208,LAKEVIEW 3,4,Solid choice for the price.
209,SEASIDE VILLA,4,"Good amenities, nice location."
210,FORESTVIEW SUITE,5,"Truly a hidden gem, loved it."
211,OUR WEEKEND COTTAGE,5,Host was incredibly welcoming.
212,WILDERNESS SUITE,5,Came back for seconds already.
213,EASTERN VISTA,5,Outstanding in every way.
214,GARDEN SUITE,3,Could use a bit of updating.
215,LAKESIDE CABIN WEST,5,Came back for seconds already.
216,HILLTOP VISTA,5,"Stunning surroundings, great value."
217,OUR STABLE,5,Best trip we've ever taken.
218,JACK'S HOME,3,Lukewarm experience overall.
219,MUSIC HAVEN,3,Facilities were a bit dated.
220,PASSING THROUGH JUNCTION,1,Host never responded to issues.
221,SMOKY VIEW,2,Wouldn't recommend for families.
222,LIVELY TIMES,5,Outstanding in every way.
223,LAZY DAYS,4,Enjoyable stay for the family.
224,HISTORY PAST,5,Immaculate and beautifully decorated.
225,HILLTOP GETAWAY,2,Listing was misleading.
226,TREETOP CABIN,2,Below expectations sadly.
227,CHALET SOLEIL,2,Cleanliness left much to be desired.
228,LAKESIDE COTTAGE,1,"Requested a refund, no luck."
229,SERENITY SUITE,4,Quiet and peaceful retreat.
230,LAKEVIEW 1,4,"Pleasant surprise, recommend it."
231,LAKEVIEW 2,5,Outstanding in every way.
232,LAKEVIEW 3,1,Found it dirty and run-down.
233,SEASIDE VILLA,5,"Stunning surroundings, great value."
234,FORESTVIEW SUITE,4,"Good amenities, nice location."
235,OUR WEEKEND COTTAGE,5,Came back for seconds already.
236,WILDERNESS SUITE,5,Would give 6 stars if possible.
237,EASTERN VISTA,5,"Truly a hidden gem, loved it."
238,GARDEN SUITE,1,Absolutely would not return.
239,LAKESIDE CABIN WEST,2,Not what we expected at all.
240,HILLTOP VISTA,5,We never wanted to leave!
241,OUR STABLE,4,Enjoyable stay for the family.
242,JACK'S HOME,2,Several problems during our stay.
243,MUSIC HAVEN,1,Stay was a real letdown.
244,PASSING THROUGH JUNCTION,3,Facilities were a bit dated.
245,SMOKY VIEW,5,Best trip we've ever taken.
246,LIVELY TIMES,4,"Good amenities, nice location."
247,LAZY DAYS,4,Very pleasant and well-kept.
248,HISTORY PAST,5,Perfect escape from the city.
249,HILLTOP GETAWAY,2,Overpriced for what you get.
250,TREETOP CABIN,3,Acceptable but not exciting.
